end_gy,peak_velocity,sd,end_gx,type,start_gy,mean_gx,end_time,start_gx,amplitude,blink_id,rms,duration,mean_gy,start_time,end_point
,,,,blink,,,623842.0540145,,,84.0,,,,623841.9331435,
,,,,blink,,,623842.3365,,,85.0,,,,623842.2044055,
,,,,blink,,,623845.2096375,,,86.0,,,,623845.049079,
,,,,blink,,,623846.419932,,,87.0,,,,623846.211538,
,,,,blink,,,623846.689456,,,88.0,,,,623846.585869,
,,,,blink,,,623848.384785,,,89.0,,,,623848.2528315,
,,,,blink,,,623849.701576,,,90.0,,,,623849.5604615,
,,,,blink,,,623850.8343189999,,,91.0,,,,623850.693744,
,,,,blink,,,623852.78401,,,92.0,,,,623852.6201085,
,,,,blink,,,623854.6197385,,,93.0,,,,623854.472181,
,,,,blink,,,623855.4083315,,,94.0,,,,623855.2446095,
,,,,blink,,,623857.471669,,,95.0,,,,623857.3145689999,
,,,,blink,,,623859.5533865,,,96.0,,,,623859.4117495001,
,,,,blink,,,623861.187218,,,97.0,,,,623861.0295579999,
,,,,blink,,,623862.031989,,,98.0,,,,623861.919946,
,,,,blink,,,623862.5177585001,,,99.0,,,,623862.3973205,
,,,,blink,,,623862.9225939999,,,100.0,,,,623862.778716,
,,,,blink,,,623863.35644,,,101.0,,,,623863.231515,
,,,,blink,,,623864.3766234999,,,102.0,,,,623864.2102125001,
,,,,blink,,,623864.699831,,,103.0,,,,623864.5431895,
,,,,blink,,,623865.0507465,,,104.0,,,,623864.9423765,
,,,,blink,,,623865.9593084999,,,105.0,,,,623865.8216804999,
,,,,blink,,,623867.8246225,,,106.0,,,,623867.6737520001,
,,,,blink,,,623869.048541,,,107.0,,,,623868.8958294999,
,,,,blink,,,623869.444253,,,108.0,,,,623869.3168355001,
,,,,blink,,,623871.4238205,,,109.0,,,,623871.2806170001,
,,,,blink,,,623873.1579495,,,110.0,,,,623873.0080029999,
,,,,blink,,,623876.4092035,,,111.0,,,,623876.234979,
,,,,blink,,,623877.7338445,,,112.0,,,,623877.5916164999,
,,,,blink,,,623877.9377355,,,113.0,,,,623877.821694,
,,,,blink,,,623878.925725,,,114.0,,,,623878.768772,
,,,,blink,,,623880.4225625,,,115.0,,,,623880.2790285,
,,,,blink,,,623880.7416224999,,,116.0,,,,623880.621998,
,,,,blink,,,623885.3297965,,,117.0,,,,623885.1837205,
,,,,blink,,,623885.604431,,,118.0,,,,623885.4783105,
,,,,blink,,,623887.6367255,,,119.0,,,,623887.4955150001,
,,,,blink,,,623887.8611765,,,120.0,,,,623887.7427439999,
,,,,blink,,,623889.758929,,,121.0,,,,623889.673392,
,,,,blink,,,623890.606709,,,122.0,,,,623890.469341,
,,,,blink,,,623894.7168955,,,123.0,,,,623894.5652655,
,,,,blink,,,623896.4964409999,,,124.0,,,,623896.358165,
,,,,blink,,,623897.592039,,,125.0,,,,623897.4558275,
,,,,blink,,,623899.118026,,,126.0,,,,623898.951561,
,,,,blink,,,623900.4433619999,,,127.0,,,,623900.2952515001,
,,,,blink,,,623901.528139,,,128.0,,,,623901.3737415,
,,,,blink,,,623905.42239,,,129.0,,,,623905.2469464999,
,,,,blink,,,623906.90692,,,130.0,,,,623906.7377249999,
,,,,blink,,,623908.985236,,,131.0,,,,623908.8353895,
,,,,blink,,,623913.6883345,,,132.0,,,,623913.553796,
,,,,blink,,,623915.196567,,,133.0,,,,623915.051536,
,,,,blink,,,623917.182999,,,134.0,,,,623917.048848,
,,,,blink,,,623917.4507744999,,,135.0,,,,623917.3119075,
,,,,blink,,,623917.985089,,,136.0,,,,623917.8381205,
,,,,blink,,,623919.614129,,,137.0,,,,623919.4880184999,
,,,,blink,,,623920.481512,,,138.0,,,,623920.311711,
,,,,blink,,,623921.329899,,,139.0,,,,623921.1844425,
,,,,blink,,,623922.5813094999,,,140.0,,,,623922.437201,
,,,,blink,,,623922.8988485,,,141.0,,,,623922.7478435,
,,,,blink,,,623924.208259,,,142.0,,,,623924.053681,
,,,,blink,,,623926.880781,,,143.0,,,,623926.739078,
,,,,blink,,,623928.53263,,,144.0,,,,623928.3957045,
,,,,blink,,,623930.635332,,,145.0,,,,623930.488628,
,,,,blink,,,623932.449321,,,146.0,,,,623932.30914,
,,,,blink,,,623933.9718085,,,147.0,,,,623933.8389719999,
,,,,blink,,,623936.927722,,,148.0,,,,623936.800905,
,,,,blink,,,623938.795572,,,149.0,,,,623938.6671714999,
,,,,blink,,,623940.195985,,,150.0,,,,623940.0632885001,
,,,,blink,,,623940.77469,,,151.0,,,,623940.645104,
,,,,blink,,,623941.6870545,,,152.0,,,,623941.5535575,
,,,,blink,,,623943.5326484999,,,153.0,,,,623943.4050799999,
,,,,blink,,,623945.419221,,,154.0,,,,623945.285055,
,,,,blink,,,623950.6734875,,,155.0,,,,623950.5340365,
,,,,blink,,,623955.314702,,,156.0,,,,623955.182884,
,,,,blink,,,623955.902145,,,157.0,,,,623955.763317,
,,,,blink,,,623956.7586439999,,,158.0,,,,623956.5943505,
,,,,blink,,,623957.0958445,,,159.0,,,,623956.957818,
,,,,blink,,,623957.394801,,,160.0,,,,623957.252551,
,,,,blink,,,623957.8956645,,,161.0,,,,623957.7670219999,
,,,,blink,,,623958.266698,,,162.0,,,,623958.1317465,
,,,,blink,,,623959.2746745,,,163.0,,,,623959.1387765,
,,,,blink,,,623959.5262394999,,,164.0,,,,623959.4061959999,
,,,,blink,,,623960.606215,,,165.0,,,,623960.4553789999,
,,,,blink,,,623961.169133,,,166.0,,,,623961.0363105,
,,,,blink,,,623962.7260975,,,167.0,,,,623962.5700735,
,,,,blink,,,623963.222906,,,168.0,,,,623963.1004665,
,,,,blink,,,623965.923599,,,169.0,,,,623965.7810249999,
,,,,blink,,,623967.5174475,,,170.0,,,,623967.3766145001,
,,,,blink,,,623968.420871,,,171.0,,,,623968.2762839999,
,,,,blink,,,623968.8077369999,,,172.0,,,,623968.6806125001,
,,,,blink,,,623969.4434689999,,,173.0,,,,623969.294749,
,,,,blink,,,623969.697088,,,174.0,,,,623969.5706859999,
,,,,blink,,,623971.7365605,,,175.0,,,,623971.596083,
,,,,blink,,,623972.5270334999,,,176.0,,,,623972.392042,
,,,,blink,,,623973.515259,,,177.0,,,,623973.3688235,
,,,,blink,,,623974.849747,,,178.0,,,,623974.709386,
,,,,blink,,,623977.1479145,,,179.0,,,,623977.010002,
,,,,blink,,,623977.9552765,,,180.0,,,,623977.803894,
,,,,blink,,,623978.6854805,,,181.0,,,,623978.5371874999,
,,,,blink,,,623979.5689165001,,,182.0,,,,623979.4344639999,
,,,,blink,,,623980.734648,,,183.0,,,,623980.5951449999,
,,,,blink,,,623981.8452910001,,,184.0,,,,623981.705364,
,,,,blink,,,623982.0703825001,,,185.0,,,,623981.950738,
,,,,blink,,,623984.0110875,,,186.0,,,,623983.857187,
,,,,blink,,,623985.322747,,,187.0,,,,623985.1365805,
,,,,blink,,,623987.0450585,,,188.0,,,,623986.9006320001,
,,,,blink,,,623991.1181955,,,189.0,,,,623990.962206,
,,,,blink,,,623995.023512,,,190.0,,,,623994.8568295001,
,,,,blink,,,623997.2313265,,,191.0,,,,623997.0751654999,
,,,,blink,,,623999.95853,,,192.0,,,,623999.834806,
,,,,blink,,,624002.1312465,,,193.0,,,,624002.0379775,
,,,,blink,,,624002.3262199999,,,194.0,,,,624002.1895105,
,,,,blink,,,624003.252905,,,195.0,,,,624003.111359,
,,,,blink,,,624004.762518,,,196.0,,,,624004.624224,
,,,,blink,,,624006.233316,,,197.0,,,,624006.0569835,
