id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
3,842891.8085769999,86.1310000764206,1,1,0.49398282115169573,-0.21166687317635424,0.786834602377028,0.4134282199993804,pupil,-6.199683701473512,112.34244165386531,141.49690498768857,842891.8085769999 842891.819039 842891.828716 842891.843612 842891.860816 842891.875364 842891.882814 842891.894708
4,842892.020418,78.64900003187358,2,3,-11.276233408434706,24.346180862882893,nan,0.028411515167214952,pupil,19.202784483251836,65.913979519892,-1.4458085992582899,842892.020418 842892.011955 842891.994418 842891.976256 842891.956405 842891.9396779999 842891.930235 842891.916692 842891.909593 842891.895307 842892.043162 842892.057913 842892.068872 842892.093156 842892.099067
5,842892.2119285,102.21599997021258,5,7,0.339156396137633,0.3890397734662681,nan,0.6696030103765853,pupil,-12.092240831212973,39.286624116710705,132.23146233861388,842892.2119285 842892.2010235 842892.1835919999 842892.158894 842892.15123 842892.135354 842892.117081 842892.2407205 842892.2523755 842892.2589115 842892.269843 842892.275904 842892.2817395 842892.288453 842892.2999100001 842892.3141445
6,842892.4451015,213.91050005331635,9,12,0.43636087315100974,0.236376444714807,0.5836448025143367,0.9788350519604662,pupil,-31.074781259257417,56.16420784882138,246.44302535304016,842892.4451015 842892.438736 842892.429823 842892.4234035 842892.4126405 842892.4000995001 842892.3874675 842892.3805430001 842892.377085 842892.366466 842892.3554305 842892.3495215001 842892.337417 842892.3306839999 842892.3232014999 842892.4532379999 842892.4592225 842892.465899 842892.4728465 842892.478326 842892.48622 842892.4934894999 842892.50015 842892.50529 842892.5130075 842892.5176205 842892.524311 842892.5308294999 842892.5401145 842892.5470334999 842892.5549384999 842892.5669545 842892.573661 842892.5821934999 842892.5905769999 842892.6018155 842892.606944 842892.614517 842892.6263115 842892.6365489999 842892.64231 842892.6505765 842892.6590120001
7,842892.665115,84.49900010600686,12,13,0.43712297876526424,0.23843909784757045,0.2140897694885224,0.9650317347646812,pupil,-31.045601443847442,56.170468478903,248.57557863683516,842892.665115 842892.6686245 842892.677443 842892.6850274999 842892.6967964999 842892.706466 842892.7136975 842892.722688 842892.7292355 842892.7321784999 842892.7388115 842892.7496140001
8,842892.888068,179.85049996059388,15,18,0.4612930321341116,0.3109450419425541,0.9443230879585183,0.9763200810666312,pupil,-22.856377427732482,41.96600499342114,268.73999660958253,842892.888068 842892.8981975 842892.904847 842892.9151514999 842892.923434 842892.9300454999 842892.9376725 842892.948725 842892.955059 842892.9647425 842892.9750699999 842892.9820125 842892.991373 842892.9946035 842893.000434 842893.009368 842893.015811 842893.026618 842893.0408285 842893.0474380001 842893.0564345 842893.0614995 842893.0679184999
9,842893.1022465,162.1700000250712,18,21,0.4610702208940088,0.3507213945440874,0.6373594655427872,0.9627737575316568,pupil,-23.17620092051233,32.52471859506982,272.75170226799827,842893.1022465 842893.088979 842893.0825485 842893.0785409999 842893.1127139999 842893.1212859999 842893.1300929999 842893.138398 842893.1457545001 842893.151931 842893.1623249999 842893.1674484999 842893.174304 842893.180824 842893.1868024999 842893.1928085 842893.202528 842893.210293 842893.2209864999 842893.2279785 842893.2341684999 842893.2413085001 842893.246893 842893.2570785 842893.2644165
10,842893.32284,152.82349986955523,21,23,0.4572061568420971,0.2564879142665966,0.15910059103860014,0.9850242418556726,pupil,-22.974146259299552,51.715958604398494,248.9333007439014,842893.32284 842893.326591 842893.3357045 842893.3448155 842893.3513635 842893.358156 842893.365715 842893.369826 842893.374757 842893.378887 842893.3842809999 842893.3972165 842893.407148 842893.4170049999 842893.4253710001 842893.4344755 842893.440594 842893.447607 842893.4572655 842893.4607645 842893.471253 842893.4756634999
11,842893.5441594999,141.82800007984042,24,26,0.46770038662296654,0.18687628000033543,0.22909763618940043,0.976930069623065,pupil,-18.145191480405423,65.11054000331598,236.3754544056891,842893.5441594999 842893.5472794999 842893.5554549999 842893.5636565 842893.572747 842893.5810385 842893.587065 842893.592346 842893.596913 842893.600658 842893.6067065 842893.6146915 842893.6243264999 842893.6338855 842893.6431674999 842893.6504575 842893.6619879999 842893.667956 842893.674533 842893.6790374999 842893.6859875
12,842893.7644120001,119.13499981164932,27,29,0.3018058351148069,0.19764394695396287,0.42603279352899914,0.9878496857353412,pupil,-67.71968792723243,52.5201426865782,187.51226137471892,842893.7644120001 842893.7706395 842893.773813 842893.7860145 842893.7940085 842893.8003294999 842893.812807 842893.8221305 842893.830053 842893.834908 842893.8459320001 842893.8609535 842893.869586 842893.877516 842893.8835469999
13,842893.984685,214.86199996434152,30,33,0.4538349024488208,0.19574935957518755,0.9042199630638302,0.9252549368168134,pupil,-24.231594233269544,65.46838079894798,245.1491262848123,842893.984685 842893.9930375 842894.0006075 842894.0082355 842894.0191800001 842894.0242585 842894.030743 842894.036029 842894.0403805 842894.045157 842894.0486854999 842894.0569825 842894.0626925 842894.070629 842894.076354 842894.0831025001 842894.0898180001 842894.0945855 842894.0983889999 842894.1045025 842894.1105005 842894.118511 842894.1271535 842894.1368720001 842894.145126 842894.1533315 842894.1628759999 842894.1683865 842894.1784689999 842894.1858305 842894.1900480001 842894.1937875 842894.199547
