start_gx,end_gx,blink_id,end_time,end_gy,mean_gx,mean_gy,sd,duration,rms,start_time,type,start_gy,amplitude,peak_velocity,end_point
,,75.0,623828.35238,,,,,,,623828.2053,blink,,,,
,,76.0,623828.843677,,,,,,,623828.615611,blink,,,,
,,77.0,623831.6458055,,,,,,,623831.520277,blink,,,,
,,78.0,623831.9035585,,,,,,,623831.7754535,blink,,,,
,,79.0,623833.8928395,,,,,,,623833.7568109999,blink,,,,
,,80.0,623835.3332835,,,,,,,623835.1973925,blink,,,,
,,81.0,623837.005017,,,,,,,623836.873858,blink,,,,
,,82.0,623839.1867104999,,,,,,,623839.0383804999,blink,,,,
,,83.0,623840.7892155,,,,,,,623840.6436399999,blink,,,,
,,84.0,623842.0540145,,,,,,,623841.9331435,blink,,,,
,,85.0,623842.3365,,,,,,,623842.2044055,blink,,,,
,,86.0,623845.2096375,,,,,,,623845.049079,blink,,,,
,,87.0,623846.419932,,,,,,,623846.211538,blink,,,,
,,88.0,623846.689456,,,,,,,623846.585869,blink,,,,
,,89.0,623848.384785,,,,,,,623848.2528315,blink,,,,
,,90.0,623849.701576,,,,,,,623849.5604615,blink,,,,
,,91.0,623850.8343189999,,,,,,,623850.693744,blink,,,,
,,92.0,623852.78401,,,,,,,623852.6201085,blink,,,,
,,93.0,623854.6197385,,,,,,,623854.472181,blink,,,,
,,94.0,623855.4083315,,,,,,,623855.2446095,blink,,,,
,,95.0,623857.471669,,,,,,,623857.3145689999,blink,,,,
,,96.0,623859.5533865,,,,,,,623859.4117495001,blink,,,,
,,97.0,623861.187218,,,,,,,623861.0295579999,blink,,,,
,,98.0,623862.031989,,,,,,,623861.919946,blink,,,,
,,99.0,623862.5177585001,,,,,,,623862.3973205,blink,,,,
,,100.0,623862.9225939999,,,,,,,623862.778716,blink,,,,
,,101.0,623863.35644,,,,,,,623863.231515,blink,,,,
,,102.0,623864.3766234999,,,,,,,623864.2102125001,blink,,,,
,,103.0,623864.699831,,,,,,,623864.5431895,blink,,,,
,,104.0,623865.0507465,,,,,,,623864.9423765,blink,,,,
,,105.0,623865.9593084999,,,,,,,623865.8216804999,blink,,,,
,,106.0,623867.8246225,,,,,,,623867.6737520001,blink,,,,
,,107.0,623869.048541,,,,,,,623868.8958294999,blink,,,,
,,108.0,623869.444253,,,,,,,623869.3168355001,blink,,,,
,,109.0,623871.4238205,,,,,,,623871.2806170001,blink,,,,
,,110.0,623873.1579495,,,,,,,623873.0080029999,blink,,,,
,,111.0,623876.4092035,,,,,,,623876.234979,blink,,,,
,,112.0,623877.7338445,,,,,,,623877.5916164999,blink,,,,
,,113.0,623877.9377355,,,,,,,623877.821694,blink,,,,
,,114.0,623878.925725,,,,,,,623878.768772,blink,,,,
,,115.0,623880.4225625,,,,,,,623880.2790285,blink,,,,
,,116.0,623880.7416224999,,,,,,,623880.621998,blink,,,,
,,117.0,623885.3297965,,,,,,,623885.1837205,blink,,,,
,,118.0,623885.604431,,,,,,,623885.4783105,blink,,,,
,,119.0,623887.6367255,,,,,,,623887.4955150001,blink,,,,
,,120.0,623887.8611765,,,,,,,623887.7427439999,blink,,,,
,,121.0,623889.758929,,,,,,,623889.673392,blink,,,,
,,122.0,623890.606709,,,,,,,623890.469341,blink,,,,
,,123.0,623894.7168955,,,,,,,623894.5652655,blink,,,,
,,124.0,623896.4964409999,,,,,,,623896.358165,blink,,,,
,,125.0,623897.592039,,,,,,,623897.4558275,blink,,,,
,,126.0,623899.118026,,,,,,,623898.951561,blink,,,,
,,127.0,623900.4433619999,,,,,,,623900.2952515001,blink,,,,
,,128.0,623901.528139,,,,,,,623901.3737415,blink,,,,
,,129.0,623905.42239,,,,,,,623905.2469464999,blink,,,,
,,130.0,623906.90692,,,,,,,623906.7377249999,blink,,,,
,,131.0,623908.985236,,,,,,,623908.8353895,blink,,,,
,,132.0,623913.6883345,,,,,,,623913.553796,blink,,,,
,,133.0,623915.196567,,,,,,,623915.051536,blink,,,,
,,134.0,623917.182999,,,,,,,623917.048848,blink,,,,
,,135.0,623917.4507744999,,,,,,,623917.3119075,blink,,,,
,,136.0,623917.985089,,,,,,,623917.8381205,blink,,,,
,,137.0,623919.614129,,,,,,,623919.4880184999,blink,,,,
,,138.0,623920.481512,,,,,,,623920.311711,blink,,,,
,,139.0,623921.329899,,,,,,,623921.1844425,blink,,,,
,,140.0,623922.5813094999,,,,,,,623922.437201,blink,,,,
,,141.0,623922.8988485,,,,,,,623922.7478435,blink,,,,
,,142.0,623924.208259,,,,,,,623924.053681,blink,,,,
,,143.0,623926.880781,,,,,,,623926.739078,blink,,,,
,,144.0,623928.53263,,,,,,,623928.3957045,blink,,,,
,,145.0,623930.635332,,,,,,,623930.488628,blink,,,,
,,146.0,623932.449321,,,,,,,623932.30914,blink,,,,
,,147.0,623933.9718085,,,,,,,623933.8389719999,blink,,,,
,,148.0,623936.927722,,,,,,,623936.800905,blink,,,,
,,149.0,623938.795572,,,,,,,623938.6671714999,blink,,,,
,,150.0,623940.195985,,,,,,,623940.0632885001,blink,,,,
,,151.0,623940.77469,,,,,,,623940.645104,blink,,,,
,,152.0,623941.6870545,,,,,,,623941.5535575,blink,,,,
,,153.0,623943.5326484999,,,,,,,623943.4050799999,blink,,,,
,,154.0,623945.419221,,,,,,,623945.285055,blink,,,,
,,155.0,623950.6734875,,,,,,,623950.5340365,blink,,,,
,,156.0,623955.314702,,,,,,,623955.182884,blink,,,,
,,157.0,623955.902145,,,,,,,623955.763317,blink,,,,
,,158.0,623956.7586439999,,,,,,,623956.5943505,blink,,,,
,,159.0,623957.0958445,,,,,,,623956.957818,blink,,,,
,,160.0,623957.394801,,,,,,,623957.252551,blink,,,,
,,161.0,623957.8956645,,,,,,,623957.7670219999,blink,,,,
,,162.0,623958.266698,,,,,,,623958.1317465,blink,,,,
,,163.0,623959.2746745,,,,,,,623959.1387765,blink,,,,
,,164.0,623959.5262394999,,,,,,,623959.4061959999,blink,,,,
,,165.0,623960.606215,,,,,,,623960.4553789999,blink,,,,
,,166.0,623961.169133,,,,,,,623961.0363105,blink,,,,
,,167.0,623962.7260975,,,,,,,623962.5700735,blink,,,,
,,168.0,623963.222906,,,,,,,623963.1004665,blink,,,,
,,169.0,623965.923599,,,,,,,623965.7810249999,blink,,,,
,,170.0,623967.5174475,,,,,,,623967.3766145001,blink,,,,
,,171.0,623968.420871,,,,,,,623968.2762839999,blink,,,,
,,172.0,623968.8077369999,,,,,,,623968.6806125001,blink,,,,
,,173.0,623969.4434689999,,,,,,,623969.294749,blink,,,,
,,174.0,623969.697088,,,,,,,623969.5706859999,blink,,,,
,,175.0,623971.7365605,,,,,,,623971.596083,blink,,,,
,,176.0,623972.5270334999,,,,,,,623972.392042,blink,,,,
,,177.0,623973.515259,,,,,,,623973.3688235,blink,,,,
,,178.0,623974.849747,,,,,,,623974.709386,blink,,,,
,,179.0,623977.1479145,,,,,,,623977.010002,blink,,,,
,,180.0,623977.9552765,,,,,,,623977.803894,blink,,,,
,,181.0,623978.6854805,,,,,,,623978.5371874999,blink,,,,
,,182.0,623979.5689165001,,,,,,,623979.4344639999,blink,,,,
,,183.0,623980.734648,,,,,,,623980.5951449999,blink,,,,
,,184.0,623981.8452910001,,,,,,,623981.705364,blink,,,,
,,185.0,623982.0703825001,,,,,,,623981.950738,blink,,,,
,,186.0,623984.0110875,,,,,,,623983.857187,blink,,,,
,,187.0,623985.322747,,,,,,,623985.1365805,blink,,,,
,,188.0,623987.0450585,,,,,,,623986.9006320001,blink,,,,
,,189.0,623991.1181955,,,,,,,623990.962206,blink,,,,
,,190.0,623995.023512,,,,,,,623994.8568295001,blink,,,,
,,191.0,623997.2313265,,,,,,,623997.0751654999,blink,,,,
