end_gx,type,sd,start_gx,mean_gx,rms,amplitude,mean_gy,end_time,blink_id,duration,start_time,end_gy,start_gy,peak_velocity,end_point
,blink,,,,,,,843006.999442,86.0,,843006.883075,,,,
,blink,,,,,,,843007.5056169999,87.0,,843007.348088,,,,
,blink,,,,,,,843008.881364,88.0,,843008.121878,,,,
,blink,,,,,,,843010.0988479999,89.0,,843009.926991,,,,
,blink,,,,,,,843010.839894,90.0,,843010.748087,,,,
,blink,,,,,,,843011.723635,91.0,,843011.511897,,,,
,blink,,,,,,,843012.2174409999,92.0,,843011.897324,,,,
,blink,,,,,,,843013.362151,93.0,,843013.315684,,,,
,blink,,,,,,,843013.906951,94.0,,843013.5794045,,,,
,blink,,,,,,,843014.75358,95.0,,843014.4911364999,,,,
,blink,,,,,,,843015.151738,96.0,,843014.964604,,,,
,blink,,,,,,,843015.822724,97.0,,843015.589896,,,,
,blink,,,,,,,843016.1509415,98.0,,843016.092989,,,,
,blink,,,,,,,843017.037375,99.0,,843016.547273,,,,
,blink,,,,,,,843018.140394,100.0,,843017.204275,,,,
,blink,,,,,,,843019.894004,101.0,,843018.714948,,,,
,blink,,,,,,,843021.482489,102.0,,843021.34564,,,,
,blink,,,,,,,843022.4487935,103.0,,843022.219001,,,,
,blink,,,,,,,843022.8449965,104.0,,843022.7432114999,,,,
,blink,,,,,,,843023.1570959999,105.0,,843022.923897,,,,
,blink,,,,,,,843023.4484415001,106.0,,843023.276815,,,,
,blink,,,,,,,843024.283422,107.0,,843024.136954,,,,
,blink,,,,,,,843024.482554,108.0,,843024.421689,,,,
,blink,,,,,,,843024.9230139999,109.0,,843024.5710529999,,,,
,blink,,,,,,,843025.990306,110.0,,843025.713607,,,,
,blink,,,,,,,843026.442697,111.0,,843026.14384,,,,
,blink,,,,,,,843026.79289,112.0,,843026.630218,,,,
,blink,,,,,,,843027.480183,113.0,,843026.949405,,,,
,blink,,,,,,,843028.0984390001,114.0,,843027.9535909999,,,,
,blink,,,,,,,843028.794805,115.0,,843028.6682269999,,,,
,blink,,,,,,,843029.077148,116.0,,843029.032621,,,,
,blink,,,,,,,843029.642595,117.0,,843029.4117,,,,
,blink,,,,,,,843030.241638,118.0,,843030.182542,,,,
,blink,,,,,,,843031.748537,119.0,,843031.598636,,,,
,blink,,,,,,,843032.399096,120.0,,843032.204922,,,,
,blink,,,,,,,843033.494287,121.0,,843032.5963575,,,,
,blink,,,,,,,843039.01261,122.0,,843038.8508044999,,,,
,blink,,,,,,,843039.5123855,123.0,,843039.485029,,,,
,blink,,,,,,,843040.362061,124.0,,843040.22661,,,,
,blink,,,,,,,843040.650711,125.0,,843040.622919,,,,
,blink,,,,,,,843042.3329629999,126.0,,843042.1643515,,,,
,blink,,,,,,,843043.441491,127.0,,843043.3082005,,,,
,blink,,,,,,,843044.134789,128.0,,843044.018566,,,,
,blink,,,,,,,843049.079976,129.0,,843048.9222245,,,,
,blink,,,,,,,843050.575562,130.0,,843050.074131,,,,
,blink,,,,,,,843050.8707089999,131.0,,843050.7491785,,,,
,blink,,,,,,,843051.3050955,132.0,,843051.1999315,,,,
,blink,,,,,,,843051.8270739999,133.0,,843051.6978305,,,,
,blink,,,,,,,843052.748171,134.0,,843052.568927,,,,
,blink,,,,,,,843052.9880949999,135.0,,843052.9500775,,,,
,blink,,,,,,,843053.259702,136.0,,843053.1377485,,,,
,blink,,,,,,,843053.7738869999,137.0,,843053.616394,,,,
,blink,,,,,,,843054.410687,138.0,,843054.144932,,,,
,blink,,,,,,,843054.9987605,139.0,,843054.832813,,,,
,blink,,,,,,,843055.275596,140.0,,843055.081276,,,,
,blink,,,,,,,843055.944689,141.0,,843055.8346855,,,,
,blink,,,,,,,843056.551382,142.0,,843056.4180605,,,,
,blink,,,,,,,843057.583109,143.0,,843057.2819950001,,,,
,blink,,,,,,,843057.9772715,144.0,,843057.905099,,,,
,blink,,,,,,,843058.721739,145.0,,843058.51204,,,,
,blink,,,,,,,843059.4290819999,146.0,,843059.256423,,,,
,blink,,,,,,,843060.2019225,147.0,,843060.103806,,,,
,blink,,,,,,,843060.3878345,148.0,,843060.306447,,,,
,blink,,,,,,,843061.14223,149.0,,843060.969526,,,,
,blink,,,,,,,843061.667382,150.0,,843061.654134,,,,
,blink,,,,,,,843062.230013,151.0,,843062.0108864999,,,,
,blink,,,,,,,843062.552213,152.0,,843062.430606,,,,
,blink,,,,,,,843063.5311455,153.0,,843063.5225119999,,,,
,blink,,,,,,,843063.9798685,154.0,,843063.941519,,,,
,blink,,,,,,,843064.674482,155.0,,843064.611442,,,,
,blink,,,,,,,843065.192168,156.0,,843065.074551,,,,
,blink,,,,,,,843065.510015,157.0,,843065.479562,,,,
,blink,,,,,,,843066.219553,158.0,,843066.2040305,,,,
,blink,,,,,,,843066.395912,159.0,,843066.363083,,,,
,blink,,,,,,,843067.054776,160.0,,843066.551006,,,,
,blink,,,,,,,843068.088552,161.0,,843067.950215,,,,
,blink,,,,,,,843070.7146894999,162.0,,843070.4765824999,,,,
,blink,,,,,,,843072.338624,163.0,,843072.1318859999,,,,
,blink,,,,,,,843072.838709,164.0,,843072.542156,,,,
,blink,,,,,,,843073.266639,165.0,,843073.165344,,,,
,blink,,,,,,,843073.601205,166.0,,843073.367002,,,,
,blink,,,,,,,843074.273614,167.0,,843074.1463520001,,,,
,blink,,,,,,,843074.606127,168.0,,843074.4390070001,,,,
,blink,,,,,,,843075.2532135,169.0,,843075.2096325,,,,
,blink,,,,,,,843076.1017335,170.0,,843075.3707389999,,,,
,blink,,,,,,,843078.0145935,171.0,,843077.928228,,,,
,blink,,,,,,,843078.4440445,172.0,,843078.39677,,,,
,blink,,,,,,,843078.762632,173.0,,843078.662653,,,,
,blink,,,,,,,843078.9413584999,174.0,,843078.845149,,,,
,blink,,,,,,,843079.425669,175.0,,843079.341419,,,,
,blink,,,,,,,843079.7440899999,176.0,,843079.6345315,,,,
,blink,,,,,,,843080.299315,177.0,,843080.192983,,,,
,blink,,,,,,,843080.658924,178.0,,843080.393754,,,,
,blink,,,,,,,843081.1049545,179.0,,843081.068321,,,,
,blink,,,,,,,843082.193243,180.0,,843082.116407,,,,
,blink,,,,,,,843083.016753,181.0,,843082.406006,,,,
,blink,,,,,,,843083.764596,182.0,,843083.525559,,,,
,blink,,,,,,,843084.215631,183.0,,843083.934081,,,,
,blink,,,,,,,843084.7437575001,184.0,,843084.645342,,,,
,blink,,,,,,,843086.686234,185.0,,843085.8418149999,,,,
,blink,,,,,,,843087.00286,186.0,,843086.934973,,,,
,blink,,,,,,,843089.321907,187.0,,843087.6634269999,,,,
,blink,,,,,,,843092.242635,188.0,,843092.0389175001,,,,
,blink,,,,,,,843092.623522,189.0,,843092.468454,,,,
,blink,,,,,,,843092.80566,190.0,,843092.705481,,,,
,blink,,,,,,,843093.21817,191.0,,843092.966336,,,,
,blink,,,,,,,843093.6926589999,192.0,,843093.658357,,,,
,blink,,,,,,,843093.993607,193.0,,843093.84966,,,,
,blink,,,,,,,843094.173948,194.0,,843094.122188,,,,
,blink,,,,,,,843094.715857,195.0,,843094.260868,,,,
,blink,,,,,,,843095.2075354999,196.0,,843095.093753,,,,
,blink,,,,,,,843095.4171555,197.0,,843095.4030405,,,,
,blink,,,,,,,843096.046674,198.0,,843095.9197625001,,,,
,blink,,,,,,,843096.748375,199.0,,843096.621859,,,,
,blink,,,,,,,843096.9400715,200.0,,843096.933261,,,,
,blink,,,,,,,843097.072396,201.0,,843096.9726525,,,,
,blink,,,,,,,843097.4239925,202.0,,843097.244495,,,,
,blink,,,,,,,843097.750381,203.0,,843097.726639,,,,
,blink,,,,,,,843098.13923,204.0,,843098.109057,,,,
,blink,,,,,,,843098.602944,205.0,,843098.456089,,,,
,blink,,,,,,,843099.068491,206.0,,843098.945702,,,,
,blink,,,,,,,843099.506483,207.0,,843099.3052234999,,,,
,blink,,,,,,,843100.111704,208.0,,843100.00437,,,,
,blink,,,,,,,843100.414112,209.0,,843100.1994159999,,,,
,blink,,,,,,,843101.029752,210.0,,843100.825754,,,,
,blink,,,,,,,843102.081767,211.0,,843102.0250520001,,,,
,blink,,,,,,,843102.931775,212.0,,843102.64264,,,,
,blink,,,,,,,843103.222384,213.0,,843103.1572024999,,,,
,blink,,,,,,,843103.557917,214.0,,843103.363626,,,,
,blink,,,,,,,843104.0326145,215.0,,843103.9298075,,,,
,blink,,,,,,,843104.3323530001,216.0,,843104.156163,,,,
,blink,,,,,,,843106.390392,217.0,,843106.2346375,,,,
,blink,,,,,,,843106.9748655,218.0,,843106.7653765001,,,,
,blink,,,,,,,843107.3244479999,219.0,,843107.225787,,,,
,blink,,,,,,,843107.8341655,220.0,,843107.661055,,,,
,blink,,,,,,,843108.118185,221.0,,843107.954331,,,,
,blink,,,,,,,843108.341529,222.0,,843108.29872,,,,
,blink,,,,,,,843108.685102,223.0,,843108.569721,,,,
,blink,,,,,,,843109.310487,224.0,,843109.1412,,,,
,blink,,,,,,,843109.7270094999,225.0,,843109.696768,,,,
,blink,,,,,,,843110.509326,226.0,,843110.2772659999,,,,
