,block,condition,exp_event,msg_time,element,grid_size,posx,posy,angle,trial,vel,pic_id,lum,shake_x,shake_y
80,,GRID,buttonpress,2190.7109991270963,,,,,,,,,,,
81,1.0,GRID,element,2190.7207566430134,26.0,49.0,-12.37571727424697,5.17800055892667,,,,,,,
82,,GRID,buttonpress,2191.630597061965,,,,,,,,,,,
83,,GRID,buttonpress,2191.630945454212,,,,,,,,,,,
84,1.0,GRID,element,2191.637518795871,27.0,49.0,0.0,-7.727833286277566,,,,,,,
85,,GRID,buttonpress,2192.682832382855,,,,,,,,,,,
86,,GRID,buttonpress,2192.683132250067,,,,,,,,,,,
87,1.0,GRID,element,2192.6991306794075,28.0,49.0,-18.20603542423191,5.17800055892667,,,,,,,
88,,GRID,buttonpress,2193.642916488422,,,,,,,,,,,
89,,GRID,buttonpress,2193.6432158016337,,,,,,,,,,,
90,1.0,GRID,element,2193.6542215384356,29.0,49.0,-18.20603542423191,-5.17800055892667,,,,,,,
91,,GRID,buttonpress,2194.554865491868,,,,,,,,,,,
92,,GRID,buttonpress,2194.562890832557,,,,,,,,,,,
93,1.0,GRID,element,2194.5709711072845,30.0,49.0,-12.37571727424697,-5.17800055892667,,,,,,,
94,,GRID,buttonpress,2195.522882833059,,,,,,,,,,,
95,,GRID,buttonpress,2195.523228917304,,,,,,,,,,,
96,1.0,GRID,element,2195.531110040891,31.0,49.0,-18.20603542423191,7.727833286277566,,,,,,,
97,,GRID,buttonpress,2196.410961548584,,,,,,,,,,,
98,,GRID,buttonpress,2196.4112625647977,,,,,,,,,,,
99,1.0,GRID,element,2196.4220022144104,32.0,49.0,12.37571727424697,0.0,,,,,,,
100,,GRID,buttonpress,2197.7309740662913,,,,,,,,,,,
101,,GRID,buttonpress,2197.7313722915733,,,,,,,,,,,
102,1.0,GRID,element,2197.7377345620835,33.0,49.0,6.247859218131054,0.0,,,,,,,
103,,GRID,buttonpress,2198.9870542516787,,,,,,,,,,,
104,,GRID,buttonpress,2198.9873017898544,,,,,,,,,,,
105,1.0,GRID,element,2198.999166891265,34.0,49.0,6.247859218131054,2.5811462130272744,,,,,,,
106,,GRID,buttonpress,2200.422641440312,,,,,,,,,,,
107,,GRID,buttonpress,2200.4265784851027,,,,,,,,,,,
108,1.0,GRID,element,2200.437904808132,35.0,49.0,-6.247859218131054,-5.17800055892667,,,,,,,
109,,GRID,buttonpress,2201.7391279505196,,,,,,,,,,,
110,,GRID,buttonpress,2201.739448467747,,,,,,,,,,,
111,1.0,GRID,element,2201.75162699738,36.0,49.0,0.0,5.17800055892667,,,,,,,
112,,GRID,buttonpress,2202.939089679127,,,,,,,,,,,
